contract_address,slug,total_volume
0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,975155.7058932823
0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,boredapeyachtclub,641433.2453052683
0x60e4d786628fea6478f785a6d7e704777c86a7c6,mutant-ape-yacht-club,435489.7940963076
0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,otherdeed,327415.3537517007
0xed5af388653567af2f388e6224dc7c4b3241c544,azuki,255629.21368572055
0x959e104e1a4db6317fa58f8295f586e1a978c297,decentraland,251963.16223767598
0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,decentraland,251963.16223767598
0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,clonex,222137.34147952244
0x067a1eb5e383ed24b66d72aaf80d8d7db3d299a8,sandbox,172909.57476177343
0x50f5474724e0ee42d9a4e711ccfb275809fd6d4a,sandbox,172880.96789115714
0x5cc5b05a8a13e3fbdb0bb9fccd98d38e50f90c38,sandbox,172880.96789115714
0xf17131a4c85e8a75ba52b3f91ce8c32f6f163924,sandbox,172725.11331195716
0x23581767a106ae21c074b2276d25e5c3e136a68b,proof-moonbirds,160333.7677915507
0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,doodles-official,143730.2636491951
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,meebits,125101.10097588503
0x1a92f7381b9f03921564a437210bb9396471050c,cool-cats-nft,110245.31231396063
0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,bored-ape-kennel-club,104250.61440561671
0x60f80121c31a0d46b5279700f9df786054aa5ee5,rarible,103531.21332535066
0x6a5ff3ceecae9ceb96e6ac6c76b82af8b39f0eb3,rarible,103531.21332535066
0xb66a603f4cfe17e3d27b87a8bfcad319856518b8,rarible,103531.21332535066
0xc9154424b823b10579895ccbe442d41b9abd96ed,rarible,103531.21332535066
0xd07dc4262bcdbf85190c01c996b4c06a461d2430,rarible,103531.21332535066
0xf6793da657495ffeff9ee6350824910abc21356c,rarible,103531.21332535066
0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7,lootproject,74576.25629146567
0x09305998a531fade369ebe30adf868c96a34e813,decentraland-wearables,74116.60754300091
0x0b1c6c75d511fae05e7dc696f4cf14129a9c43c9,decentraland-wearables,74116.60754300091
0x102daabd1e9d294d4436ec4c521dce7b1f15499e,decentraland-wearables,74116.60754300091
0x1e1d4e6262787c8a8783a37fee698bd42aa42bec,decentraland-wearables,74116.60754300091
0x201c3af8c471e5842428b74d1e7c0249adda2a92,decentraland-wearables,74116.60754300091
0x24d538a6265b006d4b53c45ba91af5ef60dca6cb,decentraland-wearables,74116.60754300091
0x30d3387ff3de2a21bef7032f82d00ff7739e403c,decentraland-wearables,74116.60754300091
0x3163d2cfee3183f9874e2869942cc62649eeb004,decentraland-wearables,74116.60754300091
0x32b7495895264ac9d0b12d32afd435453458b1c6,decentraland-wearables,74116.60754300091
0x34ed0aa248f60f54dd32fbc9883d6137a491f4f3,decentraland-wearables,74116.60754300091
0x480a0f4e360e8964e68858dd231c2922f1df45ef,decentraland-wearables,74116.60754300091
0x4c290f486bae507719c562b6b524bdb71a2570c9,decentraland-wearables,74116.60754300091
0x51e0b1afe5da0c038fc93a3fc8e11cf7a238b40b,decentraland-wearables,74116.60754300091
0x54266bcf2ffa841af934f003d144957d5934f3ab,decentraland-wearables,74116.60754300091
0x574f64ac2e7215cba9752b85fc73030f35166bc0,decentraland-wearables,74116.60754300091
0x5cf39e64392c615fd8086838883958752a11b486,decentraland-wearables,74116.60754300091
0x5df4602e7f38a91ea7724fc167f0c67f61604b1e,decentraland-wearables,74116.60754300091
0x60d8271c501501c4b8cd9ed5343ac59d1b79d993,decentraland-wearables,74116.60754300091
